kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat
Simeulue,Aceh,18.4,0.08,17.69,53.1,49.38,9.89,96.08623173507993,2.6128618719394243
Aceh Singkil,Aceh,23.6,0.18,19.06,61.5,56.59,8.72,97.8450711416352,2.3479856909639154
Aceh Selatan,Aceh,28.1,0.04,12.02,57.8,51.63,8.92,97.43645538193391,3.162014322475823
Aceh Tenggara,Aceh,22.8,0.16,11.99,62.3,49.52,10.1,97.6975862650565,3.368996786453805
Aceh Timur,Aceh,28.0,0.14,13.26,58.7,52.3,8.48,97.62609089939502,4.6305590803259005
Aceh Tengah,Aceh,21.6,0.09,14.27,62.1,43.48,10.03,96.8812588942553,4.51995591055065
Aceh Barat,Aceh,20.2,0.0,17.6,63.7,56.09,9.99,96.18088578532738,4.454513742896919
Aceh Besar,Aceh,26.8,0.01,13.21,61.5,54.4,10.37,95.51515076080265,5.380157563413453
Pidie,Aceh,26.4,0.0,18.59,55.0,43.36,9.04,96.0333848601126,5.053666108073628
Bireuen,Aceh,21.8,0.05,12.1,57.6,51.55,9.59,96.60704146541488,5.093843082938084
Aceh Utara,Aceh,14.9,0.08,16.11,50.9,46.59,9.11,97.18180452464763,5.015804394192149
Aceh Barat Daya,Aceh,8.4,0.03,15.32,62.0,52.99,8.78,96.88028797528317,3.8226481961241636
Gayo Lues,Aceh,14.8,0.41,18.3,78.0,53.98,8.44,97.3600690802808,3.982731591441018
Aceh Tamiang,Aceh,22.7,0.25,12.17,60.5,53.82,9.3,97.98300459846513,4.224537757444703
Nagan Raya,Aceh,24.9,0.07,16.94,91.1,85.75,9.25,96.50769037366467,4.164313984119018
Aceh Jaya,Aceh,23.3,0.0,12.25,68.6,57.57,9.02,95.6780519211837,4.832514527082648
Bener Meriah,Aceh,22.1,0.17,18.18,77.3,62.4,10.13,97.00410824156492,4.770070482451579
Pidie Jaya,Aceh,26.6,0.03,18.28,62.3,52.72,9.59,96.21332526545662,5.124764231658529
Kota Banda Aceh,Aceh,19.8,0.01,6.95,62.4,55.97,13.1,95.32771386540992,5.55870554716411
Kota Sabang,Aceh,19.6,0.0,14.58,63.8,52.52,11.22,95.3057189666672,5.837763895828338
Kota Langsa,Aceh,11.4,0.26,10.33,59.6,50.83,11.28,97.98059638307292,4.481821686792353
Kota Lhokseumawe,Aceh,17.4,0.05,10.44,61.4,60.25,11.31,97.11119759405176,5.16527063738672
Kota Subulussalam,Aceh,19.8,0.3,16.38,54.5,41.8,8.43,97.9360159238399,2.730755927641524
Nias,Sumatera Utara,24.1,0.35,14.89,56.5,37.87,6.4,97.724590338436,1.06986863713297
Mandailing Natal,Sumatera Utara,17.3,0.23,8.69,60.9,36.96,9.11,99.36866501499044,0.7764157780174888
Tapanuli Selatan,Sumatera Utara,6.3,0.31,6.92,59.3,36.35,9.56,99.2669681482642,1.500669881277071
Tapanuli Tengah,Sumatera Utara,24.2,0.24,11.8,60.6,48.54,8.92,98.65368724693039,1.8360245046511998
Tapanuli Utara,Sumatera Utara,25.7,0.04,8.21,65.4,52.46,10.31,99.06507518073552,2.001214796116423
Toba,Sumatera Utara,21.0,0.16,8.07,62.246875,57.69,10.77,99.247563304385,2.3889741546235066
Labuhanbatu,Sumatera Utara,18.7,0.03,7.84,64.8,57.09,9.5,100.06160399579629,2.2856700971062605
Asahan,Sumatera Utara,11.1,0.13,8.12,62.3,56.91,8.85,99.55937482142119,2.8049521927979084
Simalungun,Sumatera Utara,19.6,0.15,7.72,59.2,46.93,9.73,99.02156535731616,2.9697261658941803
Dairi,Sumatera Utara,23.5,0.04,7.1,62.9,46.12,9.89,98.27919932850378,2.840526155128331
Karo,Sumatera Utara,17.6,0.04,7.37,71.2,56.55,10.12,98.30134841606076,3.1184495954899303
Deli Serdang,Sumatera Utara,19.6,0.01,3.44,60.7,52.39,10.29,98.69483395001743,3.480393243761038
Langkat,Sumatera Utara,16.9,0.02,9.04,58.1,47.1,8.74,98.22366995144077,3.7088631218584327
Nias Selatan,Sumatera Utara,23.1,0.75,16.32,58.7,39.61,6.52,98.09888105219747,0.3293434586992473
Humbang Hasundutan,Sumatera Utara,15.7,0.13,8.44,70.2,53.4,10.13,98.57771169129883,2.26117445834988
Pakpak Bharat,Sumatera Utara,23.1,0.03,6.87,63.5,45.0,9.73,98.24305602925035,2.54942635808308
Samosir,Sumatera Utara,23.4,0.0,11.63,78.4,67.73,9.61,98.72895855493812,2.562295201690942
Serdang Bedagai,Sumatera Utara,15.5,0.04,6.97,58.8,48.55,9.12,99.05770987285227,3.3662863650385537
Batu Bara,Sumatera Utara,17.0,0.05,10.94,54.4,46.61,8.51,99.47255199942983,3.235260858469567
Padang Lawas Utara,Sumatera Utara,21.8,0.39,8.97,62.3,39.56,9.82,99.76295904411273,1.590923816177811
Padang Lawas,Sumatera Utara,17.7,0.24,7.87,62.0,41.31,9.63,99.85120389584158,1.1422683506836153
Labuhanbatu Selatan,Sumatera Utara,22.0,0.25,7.73,61.7,51.46,9.19,100.1400180549948,1.8419637524145198
Labuhanbatu Utara,Sumatera Utara,7.3,0.12,8.98,62.5,52.82,9.14,99.75781092180777,2.4110310694917785
Nias Utara,Sumatera Utara,26.57,0.49,21.5,55.0,36.07,7.05,97.35540229069639,1.3149670961794702
Nias Barat,Sumatera Utara,25.4,0.25,22.68,53.4,31.48,7.26,97.49119252818018,1.0306850514780743
Kota Sibolga,Sumatera Utara,14.5,0.0,11.39,62.1,56.01,10.45,98.78930425147483,1.742549835517886
Kota Tanjung Balai,Sumatera Utara,3.9,0.06,11.97,66.5,64.89,9.69,99.79472509990624,2.9639964568332187
Kota Pematangsiantar,Sumatera Utara,10.9,0.03,7.2,62.0,54.04,11.82,99.05903398598774,2.961418746255022
Kota Tebing Tinggi,Sumatera Utara,10.4,0.0,8.79,72.6,65.34,10.87,99.15603098777714,3.328270368068601
Kota Medan,Sumatera Utara,5.8,0.0,7.94,65.0,61.85,11.79,98.6671966037394,3.62905296044561
