kab_kota,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Aceh Barat,0.1468980698109616,0.24471991101386456,0.18198442059311878,0.2029869763824059,0.22341062219964922,Kemiskinan
Aceh Barat Daya,0.14965809845079076,0.22685772542632193,0.1997470442824777,0.2153821984122255,0.20835493342818406,Kemiskinan
Aceh Besar,0.14850253213114456,0.2367262155026953,0.1851865395751899,0.21502381543757568,0.2145608973533946,Kemiskinan
Aceh Jaya,0.14173235698510472,0.24628592762550974,0.1884011386710176,0.20342926594488941,0.2201513107734786,Kemiskinan
Aceh Selatan,0.1586500972306644,0.22130720244585553,0.19164719003005956,0.2266375053434643,0.2017580049499562,Pangan Hewani
Aceh Singkil,0.15352024469716574,0.20333840781155224,0.19528622642893512,0.23091873966364773,0.2169363813986991,Pangan Hewani
Aceh Tamiang,0.15511858907911977,0.22837203583734597,0.18962872583605123,0.20643283899655243,0.22044781025093063,Kemiskinan
Aceh Tengah,0.16140456180869345,0.22528264688344798,0.19005163200347716,0.20744239992115673,0.2158187593832247,Kemiskinan
Aceh Tenggara,0.15145340768309581,0.23889066085169455,0.1922973682898373,0.22151156653928747,0.19584699663608485,Kemiskinan
Aceh Timur,0.14973154466287614,0.22847995558093942,0.19440973448820165,0.20491755914165022,0.2224612061263326,Kemiskinan
Aceh Utara,0.14908505545044073,0.25117076577935565,0.18904658188421425,0.20902339037332204,0.20167420651266732,Kemiskinan
Adm. Kep. Seribu,0.2058036584351398,0.17694698128447414,0.18409135626246845,0.19413013808642327,0.2390278659314943,RLS
Agam,0.1940671014310866,0.20833994326862568,0.17356592681110125,0.21645291013724727,0.20757411835193926,Pangan Hewani
Alor,0.1272739788694827,0.20950793885510988,0.14728030823380667,0.29433954701436255,0.22159822702723828,Pangan Hewani
Asahan,0.1720556344592407,0.19236035564588297,0.21444656745512158,0.23817338226006537,0.1829640601796894,Pangan Hewani
Badung,0.1927725926516129,0.23794935105045983,0.18564468174744822,0.18964754434524098,0.1939858302052381,Kemiskinan
Balangan,0.16545778139635117,0.2008115174364591,0.20573580136449401,0.2054155145152351,0.22257938528746055,RLS
Bandung,0.22938781752063506,0.18152273913289863,0.18466150268632983,0.2028713794581368,0.2015565612019997,Melahirkan Tidak di Faskes
Bandung Barat,0.2031419912163727,0.17922255698555545,0.17590538322483917,0.2203361462592012,0.22139392231403143,RLS
Banggai,0.1646174054607198,0.22656128381907426,0.18717035178489017,0.20558542060113344,0.21606553833418238,Kemiskinan
Banggai Kepulauan,0.1743453624228851,0.22272763001638124,0.19982025465876962,0.2012456961260741,0.20186105677589,Kemiskinan
Banggai Laut,0.18080997589826603,0.2292691016353691,0.17721793536975608,0.18940991814183977,0.22329306895476903,Kemiskinan
Bangka,0.166120692620538,0.2276472948938078,0.21913117816642028,0.17170301814383648,0.21539781617539744,Kemiskinan
Bangka Barat,0.1657035613075717,0.2226294466782027,0.2260760342831114,0.16777674757467537,0.21781421015643895,Konsumsi Protein
Bangka Selatan,0.1667533778036679,0.2194660267292284,0.21571097101542583,0.17663440378447554,0.22143522066720228,RLS
