kab_kota,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Bombana,0.1688045570267932,0.2173622994136672,0.1951422490766845,0.2172926698789742,0.2013982246038805,Pangan Hewani
Kota Bau Bau,0.1623696200603782,0.2306546679325176,0.1755962495696637,0.2308086125194223,0.2005708499180179,Pangan Hewani
Nias Selatan,0.1991246255820576,0.2066517715307254,0.1805139625565801,0.2072777606951616,0.2064318796354749,Pangan Hewani
Poso,0.1553493480976429,0.2335766194903835,0.1916079460524704,0.2342146460169057,0.1852514403425971,Pangan Hewani
Dharmasraya,0.1858847572129393,0.1868346041233954,0.172649694646774,0.226937788422655,0.2276931555942359,Pangan Hewani
Murung Raya,0.2128388061444013,0.2139112727149642,0.1891816969151555,0.2072530357966245,0.1768151884288542,Melahirkan Tidak di Faskes
Mamasa,0.1462646411665664,0.2298901105582091,0.2078532363332896,0.2310516738286811,0.1849403381132532,Pangan Hewani
Seram Bagian Barat,0.1725560561504911,0.2011120430481676,0.1542838211745489,0.235414345271428,0.2366337343553641,Pangan Hewani
Kota Dumai,0.1788682807954172,0.1949588536185771,0.1878403553079508,0.219813754213912,0.2185187560641424,Pangan Hewani
Kota Kendari,0.1720023839331305,0.2186143375720522,0.1947341881247644,0.2199967896596265,0.1946523007104261,Pangan Hewani
Balangan,0.1844587884416433,0.2095062351702082,0.2036942851373745,0.2110290619621667,0.1913116292886071,Pangan Hewani
Barito Selatan,0.1789748315941451,0.2182568075808676,0.2165686139528621,0.2023942510100529,0.1838054958620719,Konsumsi Protein
Buton Utara,0.1610773951389404,0.2239939683353684,0.1787178911059421,0.2256941874701916,0.2105165579495571,Pangan Hewani
Halmahera Selatan,0.2271108317525593,0.1982645621999201,0.1698464637963295,0.1759301004968484,0.2288480417543423,Melahirkan Tidak di Faskes
Pulau Taliabu,0.2090840107921464,0.2103634061690819,0.1812734589241322,0.1870252780254559,0.2122538460891832,RLS
Purwakarta,0.1837186959686824,0.1904788426327042,0.2012852121141504,0.211135103316283,0.2133821459681797,Pangan Hewani
Kota Cimahi,0.1818517181754014,0.1869347772566636,0.1898547256474949,0.2195447455720986,0.2218140333483413,Pangan Hewani
Kapuas Hulu,0.1917829771775597,0.1684536753399931,0.1987155060982574,0.2216931659132951,0.2193546754708941,Pangan Hewani
Melawi,0.1917829771775597,0.1684536753399931,0.1987155060982574,0.2216931659132951,0.2193546754708941,Pangan Hewani
Malaka,0.1465195219062343,0.2556219056473879,0.1549945967615173,0.2531158592366362,0.1897481164482237,Pangan Hewani
Banggai Laut,0.190622361470366,0.2131641670015006,0.1936716470599182,0.1919098355310615,0.2106319889371532,Kemiskinan
Subang,0.1870471743157209,0.1836758519063489,0.2052286993573967,0.2132940964103272,0.210754178010206,Pangan Hewani
Bolaang Mongondow,0.1930847645195003,0.2201399992115227,0.1846941027921667,0.1793162682562629,0.222764865220547,RLS
Buton Tengah,0.1580979192650977,0.2313819925974161,0.1779307114368006,0.2285758840870153,0.20401349261367,Pangan Hewani
Kota Gorontalo,0.1832443594680333,0.2136842858060635,0.1889307422317248,0.1976265901293016,0.2165140223648764,RLS
Kota Lubuk Linggau,0.1790026013487387,0.199617139874548,0.1784436355274499,0.2200445669680041,0.2228920562812588,Pangan Hewani
Tegal,0.1341128864417705,0.2125257095019545,0.2021166168788888,0.2241809467212889,0.2270638404560969,Pangan Hewani
Bolaang Mongondow Selatan,0.1906293368664954,0.2257553451915414,0.1721344471402406,0.1828095239123265,0.2286713468893957,RLS
Kota Cirebon,0.1764701302642749,0.1804065711454925,0.2066171322512292,0.2197500369988931,0.21675612934011,Pangan Hewani
Ketapang,0.1953685647570252,0.1894443813803475,0.2138682988546,0.210866969808412,0.1904517851996149,Konsumsi Protein
Bengkalis,0.1794578792090602,0.1944969866316557,0.1783409438159858,0.2254397890154381,0.2222644013278599,Pangan Hewani
Serdang Bedagai,0.180255565963625,0.2187478092409751,0.1822050901434105,0.1966559434900386,0.2221355911619505,RLS
Pemalang,0.1444536962733466,0.2232402124017098,0.1934379346621545,0.2122396549056665,0.2266285017571224,RLS
Sumenep,0.1617230611609861,0.2184208029544476,0.222077982306899,0.2133242692902287,0.1844538842874383,Konsumsi Protein
Pakpak Bharat,0.1949862594788753,0.2137762833288515,0.1843200201183965,0.2101112144499091,0.1968062226239672,Pangan Hewani
Pelalawan,0.1809929313174357,0.1954880639000125,0.1823938905500533,0.218688608310957,0.222436505921541,Pangan Hewani
Kampar,0.1809929313174357,0.1954880639000125,0.1823938905500533,0.218688608310957,0.222436505921541,Pangan Hewani
Indragiri Hilir,0.1809929313174357,0.1954880639000125,0.1823938905500533,0.218688608310957,0.222436505921541,Pangan Hewani
Gorontalo,0.1757060619327222,0.2375285788691024,0.1783190669106995,0.1747787477018283,0.2336675445856473,Kemiskinan
